DocumentID	Title	Date	Authors
198	Comments on the proposed conservation of the names Labrus Linnaeus, 1758, Cichlasoma Swainson, 1839 and Polycentrus Müller & Troschel, 1848 by the designation of neotypes for Labrus bimaculatus Linnaeus, 1758 and L. punctatus Linnaeus, 1758 (Osteichthyes, Perciformes)	1998	Kottelat, Maurice  | Wheeler, Alwyne
199	On the proposed designation of Iguanodon bernissartensis Boulenger in Beneden, 1881 as the type species of Iguanodon Mantell, 1825, and proposed designation of a lectotype	1998	Barrett, P M  | Carpenter, K  | Sues, H D
200	On the proposed conservation of the specific name of Australopithecus afarensis Johanson, 1978 (Mammalia, Primates)	1998	White, T  | Renne, P  | Stringer, C  | Ohman, J C
201	Opinion 1910	1998-12-18	
202	Dasineura Rondani, 1840 (Insecta, Diptera): Tipula Sisymbrii Schrank, 1803 Designated As The Type Species	1998	I C Z N
203	Opinion 1912	1998-12-18	
204	A revision of the large Barbus (Pisces, Cyprinidae) of east and central Africa. Studies on African Cyprinidae. Part 2	1973	
205	Some digenetic trematodes in fishes from the Bay of Biscay and nearby waters	1973	Bray, Rodney A
206	The indigenous earthworms (Megascolecidae: Oligochaeta) of Tasmania	1974	Jamieson, Barrie Gillean Molyneux
207	The freshwater fishes of rivers Mungo and Meme and Lakes Kotto, Mboandong and Soden, West Cameroon	1974	Trewavas, Ethelwynn
208	The freshwater fishes of rivers Mungo and Meme and Lakes Kotto, Mboandong and Soden, west Cameroon	1974	Trewavas, E
209	Notes on some echinoderms from southern Africa	1974	Clark, A M
210	Notes on some echinoderms from southern Africa	1974	Clark, A M
211	Notes on a small Collection of Myriopods from the Bermuda Islands	1889	Bollman, Charles H
212	On the new spider of the genus Dinopis, from the southern United States	1889	Marx, G
213	Neue pedipalpen und scorpione des Hamburger Museums	1898	Kraepelin, Karl
214	Anolis alumina, new species of grass anole from the Barahona Peninsula of Hispaniola	1976	Hertz, Paul E
215	Crocodilians from the late Tertiary of northwestern Venezuela: Melanosuchus Fisheri sp. nov	1976	Medina, C J
216	On a new specimen of the lower Cretaceous theropod dinosaur Deinonychus antirrhopus	1976	Ostrom, J H
217	West Indian Anoles: a taxonomic and evolutionary summary 1. Introduction and a species list	1976	Williams, E E
218	Lizard karyotypes from the Galapagos Islands: chromosomes in phylogeny and evolution	1976	Paull, D  | Williams, E E  | Hall, W P
219	A laboratory study of the Turkish hamster Mesocricetus brandti	1977	Lyman, C P  | Brien, R C
